"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"Ornithoglossum_calcicola",163,202,117,153,46,0,128,121,1,81,1,152,61,3327,277,31,246,200,117
"Sandersonia_aurantiaca",167,196,129,860,124,14,63,370,47,369,47,115,59,2642,251,59,192,191,129
"Hexacyrtis_dickiana",193,217,168,25,7,0,63,14,2,14,2,140,69,1964,290,89,201,217,168
"Colchicum_filifolium",155,223,94,813,130,1,70,368,18,27,356,92,38,5023,288,50,238,104,219
"Androcymbium_walteri",158,191,122,88,13,3,44,36,10,12,36,117,60,2742,252,57,195,122,184
"Colchicum_kesselringii",45,160,-82,451,81,2,69,215,14,28,152,109,27,9374,243,-150,393,39,156
"Colchicum_luteum",1,115,-126,577,96,5,59,256,28,49,187,102,26,9351,196,-191,387,-5,111
"Androcymbium_dregei",177,220,130,175,30,3,62,82,13,17,82,152,60,3519,310,57,253,130,219
"Androcymbium_exiguum",161,192,127,75,11,3,37,29,10,12,29,115,60,2585,251,62,189,127,186
"Androcymbium_volutare",158,215,98,220,33,7,42,87,28,28,85,163,56,4631,309,22,287,105,215
"Androcymbium_melanthioides",149,182,101,850,147,7,70,405,28,384,28,132,59,3240,240,19,221,178,101
"Colchicum_androcymbioides",137,211,72,804,118,4,65,353,26,35,344,106,39,5452,290,23,267,82,209
"Colchicum_montanum",126,188,68,1333,197,15,54,540,90,91,540,90,39,4673,255,29,226,68,186
"Colchicum_robustum",106,226,-16,285,58,4,72,149,14,20,80,140,34,9364,320,-86,406,103,215
"Colchicum_cupanii",170,244,102,469,81,7,66,223,25,25,198,64,29,5634,287,69,218,102,244
"Colchicum_pusillum",164,230,102,675,148,1,87,371,8,8,319,59,29,5073,267,70,197,104,230
"Colchicum_triphyllum",111,196,36,487,64,24,28,163,94,105,94,108,37,6323,273,-12,285,129,36
"Colchicum_nanum",93,166,33,814,104,19,38,295,92,109,249,49,24,5326,207,7,200,72,163
"Colchicum_alpinum",20,95,-52,1566,144,117,7,410,367,391,405,71,29,5863,148,-91,239,-39,95
"Colchicum_bivonae",141,222,64,1016,166,17,60,458,63,63,426,101,35,6252,300,19,281,79,222
