,0,1,2
289,"['Alstroemeria', 'angustifolia']", tuber  geophyte,85
290,"['Alstroemeria', 'annapolina']", tuber  geophyte,84
291,"['Alstroemeria', 'apertiflora']", tuber  geophyte,84 85
292,"['Alstroemeria', 'aquidauanica']", tuber  geophyte,84
293,"['Alstroemeria', 'arnicana']", tuber  geophyte,84
294,"['Alstroemeria', 'aulica']", tuber  geophyte,85
295,"['Alstroemeria', 'aurea']", tuber  geophyte,85
296,"['Alstroemeria', 'bahiensis']", tuber  geophyte,84
297,"['Alstroemeria', 'bakeri']", tuber  geophyte,85
298,"['Alstroemeria', 'bilabiata']", tuber  geophyte,85
299,"['Alstroemeria', 'brasiliensis']", tuber  geophyte,84
300,"['Alstroemeria', 'burchellii']", tuber  geophyte,84
301,"['Alstroemeria', 'cabralensis']", tuber  geophyte,84
302,"['Alstroemeria', 'caiaponica']", tuber  geophyte,84
303,"['Alstroemeria', 'calliantha']", tuber  geophyte,84
304,"['Alstroemeria', 'cantillanica']", tuber  geophyte,85
305,"['Alstroemeria', 'capixaba']", tuber  geophyte,84
306,"['Alstroemeria', 'caryophyllaea']", tuber  geophyte,84
307,"['Alstroemeria', 'chapadensis']", tuber  geophyte,84
308,"['Alstroemeria', 'chorillensis']", tuber  geophyte,83
309,"['Alstroemeria', 'crispata']", tuber  geophyte,85
310,"['Alstroemeria', 'cuiabana']", tuber  geophyte,84
311,"['Alstroemeria', 'cultrifolia']", tuber  geophyte,84
312,"['Alstroemeria', 'cunha']", tuber  geophyte,84
313,"['Alstroemeria', 'decora']", tuber  geophyte,85
314,"['Alstroemeria', 'diluta']", tuber  geophyte,85
315,"['Alstroemeria', 'discolor']", tuber  geophyte,85
316,"['Alstroemeria', 'douradensis']", tuber  geophyte,84
317,"['Alstroemeria', 'espigonensis']", tuber  geophyte,84
318,"['Alstroemeria', 'exserens']", tuber  geophyte,85
319,"['Alstroemeria', 'fiebrigiana']", tuber  geophyte,83
320,"['Alstroemeria', 'foliosa']", tuber  geophyte,84 85
321,"['Alstroemeria', 'fuscovinosa']", tuber  geophyte,84
322,"['Alstroemeria', 'garaventae']", tuber  geophyte,85
323,"['Alstroemeria', 'gardneri']", tuber  geophyte,84
324,"['Alstroemeria', 'glaucandra']", tuber  geophyte,85
325,"['Alstroemeria', 'gouveiana']", tuber  geophyte,84
326,"['Alstroemeria', 'graminea']", tuber  geophyte,85
327,"['Alstroemeria', 'hookeri']", tuber  geophyte,85
328,"['Alstroemeria', 'huemulina']", tuber  geophyte,85
329,"['Alstroemeria', 'ibitipocae']", tuber  geophyte,84
330,"['Alstroemeria', 'igarapavica']", tuber  geophyte,84
331,"['Alstroemeria', 'inodora']", tuber  geophyte,84
332,"['Alstroemeria', 'isabelleana']", tuber  geophyte,84 85
333,"['Alstroemeria', 'itabiritensis']", tuber  geophyte,84
334,"['Alstroemeria', 'itatiaica']", tuber  geophyte,84
335,"['Alstroemeria', 'jocunda']", tuber  geophyte,85
336,"['Alstroemeria', 'julieae']", tuber  geophyte,84
337,"['Alstroemeria', 'kingii']", tuber  geophyte,85
338,"['Alstroemeria', 'lactilutea']", tuber  geophyte,85
339,"['Alstroemeria', 'landimana']", tuber  geophyte,84
340,"['Alstroemeria', 'leporina']", tuber  geophyte,85
341,"['Alstroemeria', 'ligtu']", tuber  geophyte,83 85
342,"['Alstroemeria', 'litterata']", tuber  geophyte,84
343,"['Alstroemeria', 'longaviensis']", tuber  geophyte,85
344,"['Alstroemeria', 'longistaminea']", tuber  geophyte,84
345,"['Alstroemeria', 'longistyla']", tuber  geophyte,84
346,"['Alstroemeria', 'lutea']", tuber  geophyte,85
347,"['Alstroemeria', 'magna']", tuber  geophyte,85
348,"['Alstroemeria', 'magnifica']", tuber  geophyte,85
349,"['Alstroemeria', 'malmeana']", tuber  geophyte,84
350,"['Alstroemeria', 'marticorenae']", tuber  geophyte,85
351,"['Alstroemeria', 'modesta']", tuber  geophyte,85
352,"['Alstroemeria', 'mollensis']", tuber  geophyte,85
353,"['Alstroemeria', 'monantha']", tuber  geophyte,85
354,"['Alstroemeria', 'monticola']", tuber  geophyte,84
355,"['Alstroemeria', 'nidularis']", tuber  geophyte,85
356,"['Alstroemeria', 'nivea']", tuber  geophyte,85
357,"['Alstroemeria', 'ochracea']", tuber  geophyte,84
358,"['Alstroemeria', 'orchidioides']", tuber  geophyte,84
359,"['Alstroemeria', 'oreas']", tuber  geophyte,85
360,"['Alstroemeria', 'pallida']", tuber  geophyte,85
361,"['Alstroemeria', 'paraensis']", tuber  geophyte,84
362,"['Alstroemeria', 'patagonica']", tuber  geophyte,85
363,"['Alstroemeria', 'paupercula']", tuber  geophyte,83 85
364,"['Alstroemeria', 'pelegrina']", tuber  geophyte,83 85
365,"['Alstroemeria', 'penduliflora']", tuber  geophyte,84
366,"['Alstroemeria', 'philippii']", tuber  geophyte,85
367,"['Alstroemeria', 'piauhyensis']", tuber  geophyte,84
368,"['Alstroemeria', 'plantaginea']", tuber  geophyte,82 84
369,"['Alstroemeria', 'poetica']", tuber  geophyte,85
370,"['Alstroemeria', 'polpaicana']", tuber  geophyte,85
371,"['Alstroemeria', 'polyphylla']", tuber  geophyte,85
372,"['Alstroemeria', 'presliana']", tuber  geophyte,85
373,"['Alstroemeria', 'pseudospathulata']", tuber  geophyte,85
374,"['Alstroemeria', 'psittacina']", tuber  geophyte,84 85
375,"['Alstroemeria', 'pubiflora']", tuber  geophyte,84
376,"['Alstroemeria', 'pudica']", tuber  geophyte,85
377,"['Alstroemeria', 'pulchra']", tuber  geophyte,85
378,"['Alstroemeria', 'punctata']", tuber  geophyte,84
379,"['Alstroemeria', 'pygmaea']", tuber  geophyte,83 85
380,"['Alstroemeria', 'radula']", tuber  geophyte,84
381,"['Alstroemeria', 'recumbens']", tuber  geophyte,85
382,"['Alstroemeria', 'revoluta']", tuber  geophyte,85
383,"['Alstroemeria', 'ribeirensis']", tuber  geophyte,84
384,"['Alstroemeria', 'roseoviridis']", tuber  geophyte,84
385,"['Alstroemeria', 'rupestris']", tuber  geophyte,84
386,"['Alstroemeria', 'sabulosa']", tuber  geophyte,85
387,"['Alstroemeria', 'schizanthoides']", tuber  geophyte,85
388,"['Alstroemeria', 'sellowiana']", tuber  geophyte,84
389,"['Alstroemeria', 'spathulata']", tuber  geophyte,85
390,"['Alstroemeria', 'speciosa']", tuber  geophyte,84
391,"['Alstroemeria', 'spectabilis']", tuber  geophyte,85
392,"['Alstroemeria', 'stenopetala']", tuber  geophyte,84
393,"['Alstroemeria', 'stenophylla']", tuber  geophyte,84
394,"['Alstroemeria', 'stramonia']", tuber  geophyte,84
395,"['Alstroemeria', 'talcaensis']", tuber  geophyte,85
396,"['Alstroemeria', 'timida']", tuber  geophyte,85
397,"['Alstroemeria', 'tombolatoana']", tuber  geophyte,84
398,"['Alstroemeria', 'umbellata']", tuber  geophyte,85
399,"['Alstroemeria', 'variegata']", tuber  geophyte,84
400,"['Alstroemeria', 'venusta']", tuber  geophyte,85
401,"['Alstroemeria', 'versicolor']", tuber  geophyte,85
402,"['Alstroemeria', 'virginalis']", tuber  geophyte,85
403,"['Alstroemeria', 'viridiflora']", tuber  geophyte,84
404,"['Alstroemeria', 'werdermannii']", tuber  geophyte,85
405,"['Alstroemeria', 'xavantinensis']", tuber  geophyte,84
406,"['Alstroemeria', 'yaelae']", tuber  geophyte,85
407,"['Alstroemeria', 'zoellneri']", tuber  geophyte,85
408,"['Bomarea', 'acutifolia']", geophyte  rhizome,79 80
409,"['Bomarea', 'albimontana']", geophyte  rhizome,83
410,"['Bomarea', 'alstroemerioides']", tuber  geophyte  cl.,83
411,"['Bomarea', 'amazonica']", tuber  geophyte  cl.,83
412,"['Bomarea', 'amilcariana']", tuber  geophyte,82
413,"['Bomarea', 'ampayesana']", tuber  geophyte,83
414,"['Bomarea', 'anceps']", geophyte  rhizome,83
415,"['Bomarea', 'andimarcana']", tuber  geophyte,83
416,"['Bomarea', 'andreana']", geophyte  rhizome,80 82 83
417,"['Bomarea', 'angulata']", tuber  geophyte,83
418,"['Bomarea', 'angustissima']", geophyte  rhizome,83
419,"['Bomarea', 'aurantiaca']", geophyte  rhizome,83
420,"['Bomarea', 'boliviensis']", geophyte  rhizome,83 85
421,"['Bomarea', 'brachysepala']", geophyte  rhizome,83
422,"['Bomarea', 'bracteata']",,83
423,"['Bomarea', 'bracteolata']", geophyte  rhizome,80
424,"['Bomarea', 'bredemeyeriana']", tuber  geophyte  cl.,82 83
425,"['Bomarea', 'brevis']", geophyte  rhizome,83
426,"['Bomarea', 'callejasiana']", tuber  geophyte  cl.,83
427,"['Bomarea', 'campanularia']", tuber  geophyte,83
428,"['Bomarea', 'campylophylla']", geophyte  rhizome,83
429,"['Bomarea', 'carderi']", geophyte  rhizome,80 83
430,"['Bomarea', 'caucana']", tuber  geophyte,83
431,"['Bomarea', 'caudata']", geophyte  rhizome,83
432,"['Bomarea', 'caudatisepala']", geophyte  rhizome  cl.,80
433,"['Bomarea', 'ceratophora']", tuber  geophyte,83
434,"['Bomarea', 'chaparensis']", tuber  geophyte,83
435,"['Bomarea', 'chimboracensis']", geophyte  rhizome,83
436,"['Bomarea', 'chiriquina']", geophyte  rhizome,80
437,"['Bomarea', 'coccinea']", geophyte  rhizome,83
438,"['Bomarea', 'colombiana']", tuber  geophyte  cl.,83
439,"['Bomarea', 'cordifolia']", geophyte  rhizome,83
440,"['Bomarea', 'cornigera']", geophyte  rhizome,83
441,"['Bomarea', 'cornuta']", tuber  geophyte,83
442,"['Bomarea', 'costaricensis']", geophyte  rhizome,80
443,"['Bomarea', 'crassifolia']", geophyte  rhizome  cl.,82 83
444,"['Bomarea', 'crinita']", geophyte  rhizome,83
445,"['Bomarea', 'crocea']", geophyte  rhizome  cl.,83
446,"['Bomarea', 'densiflora']", tuber  geophyte,83
447,"['Bomarea', 'denticulata']", geophyte  rhizome,83
