species,habit,range
Bomarea moritziana,tuber geophyte,82 83
Bomarea multiflora,tuber geophyte,83
Bomarea multipes,tuber geophyte,83
Bomarea nematocaulon,geophyte rhizome,83
Bomarea nervosa,geophyte rhizome,83
Bomarea nubigena,geophyte rhizome,83
Bomarea obovata,tuber geophyte,80 83
Bomarea ovallei,geophyte rhizome,85
Bomarea ovata,tuber geophyte,83 85
Bomarea oxytepala,tuber geophyte,83
Bomarea pardina,geophyte rhizome,83
Bomarea parvifolia,geophyte rhizome,83
Bomarea patacocensis,tuber geophyte,83
Bomarea patinii,tuber geophyte,83
Bomarea pauciflora,tuber geophyte cl.,82 83
Bomarea perglabra,tuber geophyte,83
Bomarea peruviana,geophyte rhizome,83
Bomarea porrecta,geophyte rhizome,83
Bomarea pseudopurpurea,tuber geophyte cl.,83
Bomarea pudibunda,geophyte rhizome,83
Bomarea pumila,geophyte rhizome,83
Bomarea puracensis,tuber geophyte cl.,83
Bomarea purpurea,tuber geophyte cl.,82 83
Bomarea rinconii,NA,80
Bomarea rosea,geophyte rhizome,83
Bomarea salicifolia,geophyte rhizome,82
Bomarea salsilla,geophyte rhizome,85
Bomarea secundifolia,geophyte rhizome epiphyt,83
Bomarea setacea,tuber geophyte,83
Bomarea shuttleworthii,geophyte rhizome,83
Bomarea speciosa,geophyte rhizome,83
Bomarea spissiflora,tuber geophyte,83
Bomarea stans,geophyte rhizome,83 85
Bomarea suberecta,geophyte rhizome,80
Bomarea superba,geophyte rhizome,83
Bomarea tarmensis,geophyte rhizome,83
Bomarea torta,geophyte rhizome,83
Bomarea tribrachiata,tuber geophyte,83
Bomarea trichophylla,geophyte rhizome,83
Bomarea trimorphophylla,tuber geophyte,83
Bomarea truxillensis,geophyte rhizome cl.,82
Bomarea uncifolia,geophyte rhizome,83
Bomarea vargasii,tuber geophyte,83
Bomarea velascoana,tuber geophyte,83
Bomarea vitellina,geophyte rhizome,83
Bomarea weigendii,tuber geophyte cl.,83
Drymophila cyanocarpa,geophyte rhizome,50
Drymophila moorei,geophyte rhizome,50
Luzuriaga marginata,cham,85 90
Luzuriaga parviflora,hemicr,51
Luzuriaga polyphylla,hemicr,85
Luzuriaga radicans,hemicr,85
Amianthium muscitoxicum,hemicr,74 75 78
Anticlea elegans,geophyte bulb,70 71 72 73 74 75 76 77 78 79
Anticlea frigida,geophyte bulb,79
Anticlea hintoniorum,geophyte bulb,79
Anticlea mogollonensis,geophyte bulb,77
Anticlea neglecta,geophyte bulb,79
Anticlea occidentalis,geophyte bulb,71 73 76
Anticlea sachalinensis,geophyte bulb,31
Anticlea sibirica,geophyte bulb,14 30 31 36 37 38
Anticlea virescens,geophyte bulb,73 76 77 79
Anticlea volcanica,geophyte bulb,79 80
Chamaelirium luteum,geophyte rhizome hemicr,72 74 75 78
Chionographis actinomorpha,hemicr,41
Chionographis chinensis,hemicr,36
Chionographis cordifolia,hemicr,38
Chionographis hisauchiana,hemicr,38
Chionographis japonica,hemicr,38
Chionographis koidzumiana,hemicr,38
Chionographis nanlingensis,hemicr,36
Chionographis shiwandashanensis,hemicr,36
Helonias bullata,hemicr,75 78
Heloniopsis breviscapa,geophyte rhizome,38
